X,Y,id,_URI,_CREATION_DATE,SITE_DETAILS_LOCATION_ACC,lifeform,cover,height,leaftype,phenology,spatialaspectsize,spatialaspectdistri,cropcombination,cultpractwatersupply,cultpractculttimefactor,stratification2nd,cover2nd,height2nd,waterseasonality,cultpraticefallowperiode,surfaceaspect,sands,soils,physicalstatus,persistence,waterdepth,sedimentload,l2classif,l3classif,l3classifcode,l4_classif_primo,persitence_text,depthandsediment_text,surfaceaspect_text,macropatternmodifier_text,cover_text,height_text,leaf,spatialaspect,culturalpractice,waterseasonality_text,fallowperiod,l4classif,change,changetime,status,cultpracticefallowperiode,l3calssifcode,date,image,imageUp,imageDown,waterContent,comments,images,cropCombination2,artificialAspect,duneType,water_status,waterMovement
145.3484828,-16.2523875,,"22186897",2024/01/19 05:47:12+00,,,,,,,,,,,,,,,,,,,,,,,,,,W,,Deep (>2m),With sediment,,,,,,,,,,withSediment deep water,,,ok,,,,,,,,tidal river,"[ ""{ \""photoLeft\"": \""https:\\\/\\\/coreo.s3.eu-west-1.amazonaws.com\\\/645\\\/f4f44b5373a2-1705643219691-photoLeft\"", \""photoRight\"": \""https:\\\/\\\/coreo.s3.amazonaws.com\\\/645\\\/c0e8205a3723-1705643224670-photoRight\"", \""photoAhead\"": \""https:\\\/\\\/coreo.s3.eu-west-1.amazonaws.com\\\/645\\\/3ab3e0a99a34-1705643211506-photoAhead\"", \""photoBehind\"": \""https:\\\/\\\/coreo.s3.eu-west-1.amazonaws.com\\\/645\\\/78c9cf234935-1705643217450-photoBehind\"", \""photoGround\"": \""https:\\\/\\\/coreo.s3.eu-west-1.amazonaws.com\\\/645\\\/602bc5b58fbb-1705643215575-photoGround\"" }"" ]",,,,water,flowing
145.3184459,-16.2499503,,"22186892",2024/01/19 05:47:08+00,,,,,,,,,,,,,,,,,,,,,,,,,,AS,,,,Low Density,,,,,,,,,urbanAreas,,,ok,,,,,,,,,"[ ""{ \""photoLeft\"": \""https:\\\/\\\/coreo.s3.eu-west-1.amazonaws.com\\\/645\\\/2103c2547bf1-1705643224481-photoLeft\"", \""photoAhead\"": \""https:\\\/\\\/coreo.s3.eu-west-1.amazonaws.com\\\/645\\\/6baf03a76c36-1705643211538-photoAhead\"", \""photoGround\"": \""https:\\\/\\\/coreo.s3.eu-west-1.amazonaws.com\\\/645\\\/febd490307d9-1705643216965-photoGround\"" }"" ]",,Urban Areas,,,
145.4055479,-16.269941,,"22186890",2024/01/19 05:46:58+00,,,,,,Evergreen,,,,,,,,,,,,,,,,,,,,NTV,,,,,,"70","19",,,,,,Open (20 to 60-70%) 19m broadleaf evergreen dry Trees,,,ok,,,,,,,Dry,point from a boat. point should be on the bank,"[ ""{ \""photoAhead\"": \""https:\\\/\\\/coreo.s3.eu-west-1.amazonaws.com\\\/645\\\/6c9a1834075f-1705643211597-photoAhead\"", \""photoGround\"": \""https:\\\/\\\/coreo.s3.eu-west-1.amazonaws.com\\\/645\\\/9620abbac83e-1705643215905-photoGround\"" }"" ]",,,,,
145.4153296,-16.3467617,,"22186886",2024/01/19 05:46:29+00,,,,,,,,,,,,,,,,,,,,,,,,,,BS,,,,,,,,,,,Tidal (daily variation),,tidal tidal,,,ok,,,,,,,Tidal,,"[ ""{ \""photoLeft\"": \""https:\\\/\\\/coreo.s3.eu-west-1.amazonaws.com\\\/645\\\/7b3c6bd058ea-1705643180552-photoLeft\"", \""photoRight\"": \""https:\\\/\\\/coreo.s3.eu-west-1.amazonaws.com\\\/645\\\/81509d6a110c-1705643185210-photoRight\"", \""photoAhead\"": \""https:\\\/\\\/coreo.s3.eu-west-1.amazonaws.com\\\/645\\\/ef362e8167eb-1705643170831-photoAhead\"", \""photoBehind\"": \""https:\\\/\\\/coreo.s3.eu-west-1.amazonaws.com\\\/645\\\/1cbbbe382be9-1705643177714-photoBehind\"", \""photoGround\"": \""https:\\\/\\\/coreo.s3.amazonaws.com\\\/645\\\/012a1931659c-1705643173762-photoGround\"" }"" ]",,,,,
145.3986542,-16.2591985,,"22186883",2024/01/19 05:46:04+00,,,,,,,,,,,,,,,,,,,,,,,,,,W,,Deep (>2m),With sediment,,,,,,,,,,tidal withSediment deep water,,,ok,,,,,,,Tidal,,"[ ""{ \""photoLeft\"": \""https:\\\/\\\/coreo.s3.eu-west-1.amazonaws.com\\\/645\\\/23f81209c497-1705643160594-photoLeft\"", \""photoRight\"": \""https:\\\/\\\/coreo.s3.eu-west-1.amazonaws.com\\\/645\\\/2d415226211c-1705643162703-photoRight\"", \""photoAhead\"": \""https:\\\/\\\/coreo.s3.eu-west-1.amazonaws.com\\\/645\\\/5d5b70a65111-1705643153797-photoAhead\"", \""photoBehind\"": \""https:\\\/\\\/coreo.s3.amazonaws.com\\\/645\\\/da5db0305266-1705643157797-photoBehind\"", \""photoGround\"": \""https:\\\/\\\/coreo.s3.eu-west-1.amazonaws.com\\\/645\\\/a291074cc4af-1705643156552-photoGround\"" }"" ]",,,,water,flowing
145.3917288,-16.2617535,,"22186870",2024/01/19 05:43:40+00,,,,,,,,,,,,,,,,,,,,,,,,,,W,,Deep (>2m),With sediment,,,,,,,,,,tidal withSediment deep water,,,ok,,,,,,,Tidal,,"[ ""{ \""photoAhead\"": \""https:\\\/\\\/coreo.s3.eu-west-1.amazonaws.com\\\/645\\\/8ca25c346188-1705643016760-photoAhead\"", \""photoGround\"": \""https:\\\/\\\/coreo.s3.eu-west-1.amazonaws.com\\\/645\\\/81a6978633f0-1705643019412-photoGround\"" }"" ]",,,,water,flowing
145.380085983106,-16.2633197497105,,"22186857",2024/01/19 05:42:43+00,,,,,,Evergreen,,,,,,,,,,,,,,,,,,,,NAV,,,,,,"75","17",,,,,,Closed (> 70%) 17m broadleaf evergreen tidal Trees,,,ok,,,,,,,Tidal,,"[ ""{ \""photoAhead\"": \""https:\\\/\\\/coreo.s3.eu-west-1.amazonaws.com\\\/645\\\/e21d15519fea-1705642957129-photoAhead\"" }"" ]",,,,,
145.376179746426,-16.2604583362051,,"22186855",2024/01/19 05:42:20+00,,,,,,,,,,,,,,,,,,,,,,,,,,W,,Deep (>2m),With sediment,,,,,,,,,,tidal withSediment deep water,,,ok,,,,,,,Tidal,,"[ ""{ \""photoAhead\"": \""https:\\\/\\\/coreo.s3.amazonaws.com\\\/645\\\/49f26df829fc-1705642935123-photoAhead\"", \""photoGround\"": \""https:\\\/\\\/coreo.s3.amazonaws.com\\\/645\\\/36511758d7bd-1705642938261-photoGround\"" }"" ]",,,,water,flowing
145.442388321239,-16.2745423929813,,"22186852",2024/01/19 05:33:30+00,,,,,,,,,,,,,,,,,,,,,,,,,,NAV,,,,,,"75",,,,,,,Closed (> 70%) tidal Trees,,,ok,,,,,,,Tidal,,"[ ""{ \""photoAhead\"": \""https:\\\/\\\/coreo.s3.eu-west-1.amazonaws.com\\\/645\\\/942c40fc3ddb-1705642371274-photoAhead\"" }"" ]",,,,,
145.449674467063,-16.2751946935556,,"22186844",2024/01/19 05:33:25+00,,,,,,,,,,,,,,,,,,,,,,,,,,NAV,,,,,,"80","5",,,,,,Closed (> 70%) 5m tidal Trees,,,ok,,,,,,,Tidal,,"[ ""{ \""photoAhead\"": \""https:\\\/\\\/coreo.s3.eu-west-1.amazonaws.com\\\/645\\\/d7fff4c24f13-1705642371292-photoAhead\"" }"" ]",,,,,
145.404801478814,-16.2773237463016,,"22186838",2024/01/19 05:33:23+00,,,,,,Evergreen,,,,,,,,,,,,,,,,,,,,NAV,,,,,,"90","6",,,,,,Closed (> 70%) 6m broadleaf evergreen tidal Trees,,,ok,,,,,,,Tidal,,"[ ""{ \""photoAhead\"": \""https:\\\/\\\/coreo.s3.eu-west-1.amazonaws.com\\\/645\\\/d2594814188b-1705642370909-photoAhead\"" }"" ]",,,,,
145.410272964865,-16.2805736393061,,"22186835",2024/01/19 05:33:22+00,,,,,,Evergreen,,,,,,,,,,,,,,,,,,,,NAV,,,,,,"85","9",,,,,,Closed (> 70%) 9m broadleaf evergreen tidal Trees,,,ok,,,,,,,Tidal,,"[ ""{ \""photoAhead\"": \""https:\\\/\\\/coreo.s3.eu-west-1.amazonaws.com\\\/645\\\/31ce77a16047-1705642370909-photoAhead\"" }"" ]",,,,,
145.406321516951,-16.271495046237,,"22186832",2024/01/19 05:33:20+00,,,,,,Deciduous,,,,,,,,,,,,,,,,,,,,NTV,,,,,,"70","20",,,,,,Open (20 to 60-70%) 20m broadleaf deciduous dry Trees,,,ok,,,,,,,Dry,mixed forest 95%,"[ ""{ \""photoAhead\"": \""https:\\\/\\\/coreo.s3.eu-west-1.amazonaws.com\\\/645\\\/c7006ae35ede-1705642370691-photoAhead\"" }"" ]",,,,,
145.405889493797,-16.26972473501,,"22186826",2024/01/19 05:33:15+00,,,,,,Evergreen,,,,,,,,,,,,,,,,,,,,NTV,,,,,,"75","14",,,,,,Closed (> 70%) 14m broadleaf evergreen dry Trees,,,ok,,,,,,,Dry,,"[ ""{ \""photoAhead\"": \""https:\\\/\\\/coreo.s3.eu-west-1.amazonaws.com\\\/645\\\/cb22dfef74ef-1705642370585-photoAhead\"" }"" ]",,,,,
145.352226811898,-16.2436372583768,,"22186824",2024/01/19 05:33:12+00,,"Grasses, rushes and/or sedges",,,,,,,,,,,,,,,,,,,,,,,,CAV,,,,,,"100","0.20000000000000001",,,,Non Persistent (<3 months),,Closed (> 70%) 0.2m nonPersistent waterlogged graminoids,,,ok,,,,,,,Waterlogged,,"[ ""{ \""photoAhead\"": \""https:\\\/\\\/coreo.s3.eu-west-1.amazonaws.com\\\/645\\\/6ae87b7b3764-1705642370247-photoAhead\"" }"" ]",,,,,
145.411846966985,-16.280688377576,,"22186820",2024/01/19 05:33:11+00,,,,,,,,,,,,,,,,,,,,,,,,,,NAV,,,,,,"90","8",,,,,,Closed (> 70%) 8m broadleaf tidal Trees,,,ok,,,,,,,Tidal,,"[ ""{ \""photoAhead\"": \""https:\\\/\\\/coreo.s3.amazonaws.com\\\/645\\\/0b25d0a38282-1705642370944-photoAhead\"" }"" ]",,,,,
145.348523723554,-16.253147677742,,"22186814",2024/01/19 05:33:09+00,,,,,,Evergreen,,,,,,,,,,,,,,,,,,,,NAV,,,,,,"100","18",,,,Tidal (daily variation),,Closed (> 70%) 18m broadleaf evergreen tidal tidal Trees,,,ok,,,,,,,Tidal,tropical rainforest ,"[ ""{ \""photoAhead\"": \""https:\\\/\\\/coreo.s3.eu-west-1.amazonaws.com\\\/645\\\/b4417ffe939d-1705642370244-photoAhead\"" }"" ]",,,,,
145.447751862373,-16.2746839533585,,"22186810",2024/01/19 05:33:04+00,,,,,,,,,,,,,,,,,,,,,,,,,,NAV,,,,,,"80","6",,,,,,Closed (> 70%) 6m tidal Trees,,,ok,,,,,,,Tidal,,"[ ""{ \""photoAhead\"": \""https:\\\/\\\/coreo.s3.amazonaws.com\\\/645\\\/435f6ad4508d-1705642371256-photoAhead\"" }"" ]",,,,,
145.347710029723,-16.2505219891768,,"22186804",2024/01/19 05:33:03+00,,,,,,Evergreen,,,,,,,,,,,,,,,,,,,,NAV,,,,,,"20","15",,,,Tidal (daily variation),,Sparse (4 to 10-20%) 15m broadleaf evergreen tidal tidal Trees,,,ok,,,,,,,Tidal,,"[ ""{ \""photoAhead\"": \""https:\\\/\\\/coreo.s3.eu-west-1.amazonaws.com\\\/645\\\/0b53dc84cb43-1705642370339-photoAhead\"" }"" ]",,,,,
145.345996609895,-16.2539762532453,,"22186800",2024/01/19 05:33:03+00,,,,,,,,,,,,,,,,,,,,,,,,,,NAV,,,,,,"5","8",,,,Tidal (daily variation),,Sparse (4 to 10-20%) 8m tidal tidal Trees,,,ok,,,,,,,Tidal,,"[ ""{ \""photoAhead\"": \""https:\\\/\\\/coreo.s3.eu-west-1.amazonaws.com\\\/645\\\/aa0a66506272-1705642370298-photoAhead\"" }"" ]",,,,,
145.348144123432,-16.2538625212564,,"22186793",2024/01/19 05:33:01+00,,,,,,,,,,,,,,,,,,,,,,,,,,BS,,,,,,,,,,,,,,,,ok,,,,,,,,,"[ ""{ \""photoAhead\"": \""https:\\\/\\\/coreo.s3.eu-west-1.amazonaws.com\\\/645\\\/008b28ab1a21-1705642369604-photoAhead\"" }"" ]",,,,,
145.392969987561,-16.2619622321043,,"22186753",2024/01/19 03:00:22+00,,,,,,,,,,,,,,,,,,,,,,,,,,AS,,,,Low Density,,,,,,,,,urbanAreas,,,ok,,,,,,,,,"[ ""{ \""photoAhead\"": \""https:\\\/\\\/coreo.s3.eu-west-1.amazonaws.com\\\/645\\\/fce782e3f154-1705633207944-photoAhead\"" }"" ]",,Urban Areas,,,
145.318463193388,-16.2500563636574,,"22186747",2024/01/19 02:13:05+00,,,,,,,,,,,,,,,,,,,,,,,,,,AS,,,,,,,,,,,,,urbanAreas,,,ok,,,,,,,,,"[ ""{ \""photoAhead\"": \""https:\\\/\\\/coreo.s3.eu-west-1.amazonaws.com\\\/645\\\/b5d0dac0ec63-1705630360600-photoAhead\"" }"" ]",,Urban Areas,,,
145.317879058556,-16.2490709033003,,"22186745",2024/01/19 02:12:31+00,,,,,,,,,,,,,,,,,,,,,,,,,,BS,,,,,,,,,,,,,,,,ok,,,,,,,,,"[ ""{ \""photoAhead\"": \""https:\\\/\\\/coreo.s3.eu-west-1.amazonaws.com\\\/645\\\/07fe7c5048a2-1705630319433-photoAhead\"", \""photoGround\"": \""https:\\\/\\\/coreo.s3.eu-west-1.amazonaws.com\\\/645\\\/fc544c6922ef-1705630336023-photoGround\"" }"" ]",,,,,
145.376038589178,-16.2627600422956,,"22186743",2024/01/19 02:11:52+00,,,,,,,,,,,,,,,,,,,,,,,,,,W,,Deep (>2m),With sediment,,,,,,,,,,tidal withSediment deep water,,,ok,,,,,,,Tidal,,"[ ""{ \""photoAhead\"": \""https:\\\/\\\/coreo.s3.eu-west-1.amazonaws.com\\\/645\\\/1f33695c7309-1705630292096-photoAhead\"", \""photoGround\"": \""https:\\\/\\\/coreo.s3.eu-west-1.amazonaws.com\\\/645\\\/fef1cc48551a-1705630306936-photoGround\"" }"" ]",,,,water,flowing
145.374594635671,-16.2633842223718,,"22186741",2024/01/19 02:11:23+00,,,,,,Evergreen,,,,,,,,,,,,,,,,,,,,NAV,,,,,,"100","16",,,,Tidal (daily variation),,Closed (> 70%) 16m broadleaf evergreen tidal tidal Trees,,,ok,,,,,,,Tidal,,"[ ""{ \""photoAhead\"": \""https:\\\/\\\/coreo.s3.eu-west-1.amazonaws.com\\\/645\\\/1cc358717e1e-1705630259370-photoAhead\"", \""photoGround\"": \""https:\\\/\\\/coreo.s3.eu-west-1.amazonaws.com\\\/645\\\/3bd30cd8c752-1705630277755-photoGround\"" }"" ]",,,,,
145.372112151371,-16.2617629487219,,"22186729",2024/01/19 01:58:22+00,,,,,,,,,,,,,,,,,,,,,,,,,,W,,Deep (>2m),With sediment,,,,,,,,,,tidal withSediment deep water,,,ok,,,,,,,Tidal,,"[ ""{ \""photoAhead\"": \""https:\\\/\\\/coreo.s3.amazonaws.com\\\/645\\\/88fdfdcf4d47-1705629479233-photoAhead\"", \""photoGround\"": \""https:\\\/\\\/coreo.s3.amazonaws.com\\\/645\\\/1d8d1afbd582-1705629494902-photoGround\"" }"" ]",,,,water,flowing
145.372967692227,-16.2614913331496,,"22186727",2024/01/19 01:57:39+00,,,,,,,,,,,,,,,,,,,,,,,,,,W,,Deep (>2m),With sediment,,,,,,,,,,tidal withSediment deep water,,,ok,,,,,,,Tidal,,"[ ""{ \""photoAhead\"": \""https:\\\/\\\/coreo.s3.eu-west-1.amazonaws.com\\\/645\\\/375c59fef1ad-1705629440166-photoAhead\"", \""photoGround\"": \""https:\\\/\\\/coreo.s3.eu-west-1.amazonaws.com\\\/645\\\/e6d449fce524-1705629453326-photoGround\"" }"" ]",,,,water,flowing
