No,lon,lat
124,145.4180255920527,-16.308138731045148
124,145.4349975169888,-16.304953020530107
124,145.43011260870384,-16.308258945522198
124,145.4423875064453,-16.299723534335627
124,145.43355709531602,-16.30976162025172
124,145.43336921422792,-16.317034402955045
124,145.430049981676,-16.32021991688744
124,145.42835905188485,-16.32316496854027
124,145.4567228576188,-16.282026527276912
124,145.46006803208996,-16.276991014330093
124,145.44372229319674,-16.282099504774948
124,145.42988543515781,-16.278523575430484
124,145.4184814312784,-16.27925336222222
124,145.41072670864014,-16.281734617012035
111,145.45368178991362,-16.263270410427182
111,145.44919621505574,-16.26100787833893
111,145.43946479841253,-16.261883700303272
111,145.3961295836724,-16.290345787193417
111,145.39384878289604,-16.27217431581178
111,145.39681382390484,-16.270130832245044
111,145.37590648346014,-16.272028353406
111,145.3925563291234,-16.299540347992547
111,145.38981936819255,-16.279764211361822
111,145.3824447790165,-16.279983146299116
111,145.41407188310842,-16.25385518614766
111,145.3825208057101,-16.2579424707136
215,145.3646745244278,-16.26065183184646
215,145.36377307687542,-16.259244328452382
215,145.31738977081466,-16.24911187348691
215,145.3185491183836,-16.249939514264412
215,145.32129389852315,-16.249844383317807
215,145.32102635677666,-16.250472246715262
215,145.32410804133798,-16.250301011442588
215,145.3199462808373,-16.252070435403425
215,145.31842030198607,-16.250291498366693
215,145.31770685732909,-16.249701686811633
215,145.32309732807397,-16.24817958429921
215,145.32031291211956,-16.24895015016915
215,145.3200156435126,-16.249511424642307
216,145.31933486792718,-16.24780870663531
216,145.31627695066095,-16.253318445329697
216,145.31339294338176,-16.252080158926773
216,145.31250890095117,-16.252859306337285
216,145.32021002968412,-16.243772901450328
216,145.31780709222892,-16.241948743318986
216,145.34554606211105,-16.254376408758688
216,145.37141873376845,-16.261333630018896
216,145.4557159322676,-16.28974137893124
216,145.45712268148372,-16.290416515775362
216,145.4640836646746,-16.28613284948473
216,145.43849851235979,-16.30989018606128
216,145.44004607602898,-16.308128866959805
216,145.43670443412452,-16.312532135007032
216,145.43243505202645,-16.319323934823217
112,145.35259369739202,-16.27610822542627
112,145.3624240086711,-16.29332877993879
112,145.35013611957226,-16.29804647614732
112,145.3597206730705,-16.313142340651993
112,145.37864402228172,-16.316208545933762
112,145.36930522656655,-16.328472886655234
112,145.34743278397167,-16.331067167893295
112,145.4624474259371,-16.243550172745913
112,145.44598165454568,-16.23599970901374
112,145.41845678296426,-16.239303072558258
112,145.40494010495433,-16.23623566539206
112,145.34350065946,-16.280590433101594
112,145.35750885303162,-16.219954011623685
112,145.38577099796015,-16.225145409775592
112,145.3361279260007,-16.225381379166905
220,145.30919898616264,-16.237142748709417
220,145.3270264563876,-16.2485338657701
220,145.3390128442179,-16.254900920583324
220,145.34765277859384,-16.25273964987177
220,145.35337217177238,-16.24421116056982
220,145.359213254167,-16.245788374830198
220,145.36164703849806,-16.251279318367494
220,145.38506900922243,-16.26229939211231
220,145.39754303007476,-16.259391172735093
220,145.40476014213795,-16.2717935732245
220,145.4305100170344,-16.28120186551446
220,145.44806274637398,-16.278037341195287
220,145.45002294965127,-16.292747669924083
220,145.44405323967237,-16.30737137928834
220,145.45189405277853,-16.29856307687382